code	occupation	gender	conversations	birth-region	age-range	study-level	L1
PKP112	stud	F	KPN028	emilia-romagna	21-25	laurea-in-corso	italian
PKP113	stud	F	KPN026	emilia-romagna	21-25	laurea-in-corso	italian
PKP114	tec	F	KPN026	emilia-romagna	21-25	laurea	italian
PKP115	stud	F	KPN027	emilia-romagna	16-20	med	italian
PKP116	pens	F	KPN027	sicilia	76-80	elem	italian
PKP118	intell	F	KPN028	marche	51-55	laurea	italian
PKP119	comm	M	KPN028	sicilia	51-55	med	italian
PKP120	stud	F	KPN011	emilia-romagna	26-30	laurea-in-corso	italian
PKP121	stud	M	KPN011	emilia-romagna	31-35	laurea-in-corso	italian
PKP122	intell	M	KPN011	estero	71-75	phd	other
PKP123	disocc	F	KPN011	estero	61-65	dip-tec-prof	other
PKP124	stud	F	KPN002	veneto	21-25	laurea-in-corso	italian
PKP125	stud	M	KPS021;KPS022;KPS023;KPS024;KPS025	campania	26-30	laurea-in-corso	italian
PKP126	disocc	M	KPS021	campania	26-30	laurea	italian
PKP127	stud	F	KPS021	campania	26-30	laurea-in-corso	italian
PKP128	comm	F	KPS022	campania	26-30	dip-tec-prof	italian
PKP129	comm	F	KPS022	campania	26-30	dip-tec-prof	italian
PKP130	intell	F	KPS023	campania	31-35	laurea	italian
PKP131	disocc	F	KPS024	campania	21-25	dip-tec-prof	italian
PKP132	pens	F	KPS025	campania	61-65	dip-tec-prof	dialect
PKP133	pens	M	KPS025	campania	71-75	elem	dialect
PKP134	intell	F	KPS007	abruzzo	26-30	laurea	italian
PKP135	intell	F	KPS007;KPS003;KPN001	abruzzo	21-25	dip-lic	italian
PKP136	stud	M	KPN03;KPN029;KPS018	basilicata	21-25	laurea-in-corso	italian
PKP137	intell	F	KPS018	basilicata	56-60	laurea	italian
PKP138	intell	M	KPS018	basilicata	61-65	laurea	italian
PKP139	stud	F	KPN029	basilicata	21-25	laurea-in-corso	italian
PKP140	intell	F	KPN029	basilicata	26-30	laurea	italian
PKP141	stud	F	KPN030	basilicata	21-25	laurea-in-corso	italian
PKP142	stud	F	KPN030	basilicata	21-25	laurea-in-corso	italian
PKP143	stud	F	KPN019	veneto	16-20	med	italian
PKP144	intell	M	KPN019	veneto	61-65	laurea	italian
PKP145	stud	F	KPN018	veneto	21-25	laurea-in-corso	italian
PKP146	tec	M	KPN018	veneto	56-60	dip-tec-prof	italian
PKP147	stud	F	KPC011	umbria	21-25	laurea-in-corso	italian
PKP148	pens	M	KPC011	toscana	81-85	elem	italian
PKP149	pens	F	KPC011	toscana	76-80	elem	italian
