code	occupation	gender	conversations	birth-region	age-range	study-level	mothertongue	age-of-arrival-italy	years-in-italy
PSB106	disocc	M	SBCU005	ucraina	31-35	laurea	ucraino	11-15	16-17
PSB107	tec	F	SBCU005	ucraina	51-55	laurea	ucraino	16-20	30-31
PSB109	intell	F	SBCC005;SBCC006	cina	36-40	laurea	cinese mandarino	21-25	18-19
PSB110	tec	M	SBCC005;SBCC006	emilia-romagna	36-40	laurea	italiano	N/A	N/A
PSB113	intell	F	SBCC007	cina	36-40	laurea	cinese mandarino	31-35	16-17
PSB114	uff	M	SBCC007	trentino-alto-adige	31-35	laurea	italiano	N/A	N/A
PSB118	stud	M	SBCB003	stati uniti	21-25	laurea-in-corso	italiano	N/A	N/A
PSB119	stud	F	SBCC008;SBCC009	cina	21-25	laurea-in-corso	cinese mandarino	16-20	02-03
PSB120	stud	F	SBCC009	cina	21-25	laurea-in-corso	cinese mandarino	21-25	0-1
PSB121	stud	F	SBCC010;SBCC011	cina	21-25	laurea-in-corso	cinese mandarino	21-25	02-03
PSB122	artig	M	SBCC010;SBCC011	emilia-romagna	61-65	med	italiano	N/A	N/A
PSB125	non-qualif	F	SBCA006	marocco	51-55	laurea-in-corso	arabo	21-25	28-29
PSB126	stud	F	SBCA006	emilia-romagna	21-25	laurea-in-corso	italiano; arabo	N/A	N/A
PSB127	non-qualif	F	SBCU007;SBCU007bis;SBCU007tris	ucraina	56-60	laurea	ucraino	46-50	06-07
PSB128	non-qualif	F	SBCU007;SBCU007bis;SBCU007tris	ucraina	36-40	laurea	ucraino	26-30	10-11
PSB129	intell	F	SBCU007;SBCU007bis;SBCU007tris	molise	31-35	phd	italiano	N/A	N/A
PSB130	intell	F	SBCU007;SBCU007bis;SBCU007tris	veneto	26-30	laurea	italiano	N/A	N/A
PSB133	comm	M	SBCB004	bangladesh	21-25	dip-tec-prof	bengalese	0-5	18-19
PSB134	stud	M	SBCB004	lombardia	26-30	laurea-in-corso	italiano	N/A	N/A
PSB135	disocc	M	SBCB004	emilia-romagna	21-25	dip-estero	italiano	N/A	N/A
PSB136	intell	F	SBCC012	basilicata	21-25	laurea-in-corso	cinese mandarino; italiano	N/A	N/A
PSB137	intell	F	SBCC012	campania	21-25	laurea-in-corso	cinese mandarino; italiano	N/A	N/A
PSB140	uff	F	SBCA008	emilia-romagna	61-65	dip-estero	italiano	N/A	N/A
PSB141	disocc	F	SBCA008;SBIA018	marocco	31-35	dip-estero	arabo	21-25	10-11
PSB142	stud	F	SBCA009	emilia-romagna	21-25	laurea-in-corso	italiano	N/A	N/A
PSB143	stud	F	SBCA009	emilia-romagna	21-25	laurea-in-corso	italiano; arabo	N/A	N/A
PSB144	comm	F	SBIA015	marocco	46-50	elem	arabo	36-40	06-07
PSB145	disocc	F	SBIA015	marocco	41-45	dip-estero	arabo	36-40	04-05
PSB146	stud	F	SBIA015;SBIA017	emilia-romagna	21-25	laurea-in-corso	italiano	N/A	N/A
PSB147	stud	M	SBIA017	marocco	21-25	laurea-in-corso	arabo; berbero	21-25	0-1
PSB149	tec	M	SBCU010	ucraina	31-35	laurea	russo	11-15	23-24
PSB150	disocc	F	SBCU010	ucraina	46-50	dip-estero	russo	N/A	N/A
PSB151	stud	F	SBCB008	abruzzo	31-35	laurea-in-corso	italiano	N/A	N/A
PSB152	non-qualif	M	SBCB008	bangladesh	26-30	med	bengalese	16-20	06-07
PSB153	disocc	F	SBIA017	marocco	16-20	med	arabo	16-20	04-05
PSB156	stud	F	SBIA018	emilia-romagna	21-25	laurea-in-corso	italiano	N/A	N/A
PSB157	stud	F	SBIA019	emilia-romagna	21-25	laurea-in-corso	italiano	N/A	N/A
PSB158	comm	M	SBIA019	piemonte	21-25	dip-lic	italiano; albanese	N/A	N/A
PSB159	disocc	F	SBIA019	marocco	46-50	dip-estero	arabo	21-25	20-21
PSB160	pens	M	SBIA019	marocco	71-75	nessuno	arabo	36-40	34-35
PSB161	tec	F	SBCA010	emilia-romagna	21-25	laurea	italiano; arabo	N/A	N/A
PSB162	artig	M	SBCA010	marocco	56-60	laurea	arabo	21-25	36-37
PSB163	tec	M	SBCA010	emilia-romagna	26-30	dip-estero	italiano	N/A	N/A
PSB164	stud	F	SBCA011	emilia-romagna	21-25	laurea-in-corso	italiano	N/A	N/A
PSB165	artig	M	SBCA011	marocco	21-25	dip-tec-prof	arabo	0-5	18-19
