code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
PBB022	intervista-semistrutturata	00:58:37	3	BOR024;BOR025;BOI086	italiano;dialetto	BO	fisso	yes	asimmetrico	2023	no
PBB023	intervista-semistrutturata	00:33:46	4	BOR026;BOR027;BOI087;BOI088	italiano	BO	fisso	yes	asimmetrico	2023	no
PBB024	intervista-semistrutturata	00:37:15	2	BOR030;BOI091	italiano;dialetto	BO	fisso	yes	asimmetrico	2023	no
PBB025	intervista-semistrutturata	00:45:12	2	BOR030;BOI092	italiano;dialetto	BO	fisso	yes	asimmetrico	2023	no
PBB026	intervista-semistrutturata	01:01:20	4	BOR031;BOI093;BOI094;BOR032	italiano;dialetto	BO	fisso	yes	asimmetrico	2023	no
PBB027	intervista-semistrutturata	00:44:49	3	BOR036;BOI097;BOI098	italiano;dialetto	BO	fisso	yes	asimmetrico	2024	yes
PBB028	intervista-semistrutturata	00:54:54	3	BOR036;BOI099;BOI100	italiano;dialetto	BO	fisso	yes	asimmetrico	2024	no
PBB029	intervista-semistrutturata	00:38:16	2	BOR036;BOI101	italiano	BO	fisso	yes	asimmetrico	2024	yes
PBB030	intervista-semistrutturata	01:00:51	3	BOR025;BOR035;BOI102	italiano	BO	fisso	yes	asimmetrico	2024	no
PBB031	intervista-semistrutturata	00:49:58	3	BOR031;BOI108;BOI109	italiano	BO	fisso	yes	asimmetrico	2024	no
PBB032	intervista-semistrutturata	00:47:12	3	BOR031;BOI117;BOI118	italiano;dialetto	BO	fisso	yes	asimmetrico	2024	yes
PBB033	intervista-semistrutturata	00:48:35	2	BOR037;BOI119	italiano;dialetto	BO	fisso	yes	asimmetrico	2024	no
PBC001	intervista-semistrutturata	00:55:41	2	BOR001;BOI001	italiano	BO	fisso	yes	asimmetrico	2021	no
PBC002	intervista-semistrutturata	00:32:19	3	BOR003;BOI007;BOI008	italiano;dialetto	BO	fisso	yes	asimmetrico	2021	no
PBC003	intervista-semistrutturata	01:15:05	3	BOR001;BOI009;BOI010	italiano;dialetto	BO	fisso	yes	asimmetrico	2021	no
PBC004	intervista-semistrutturata	00:58:50	2	BOR004;BOI011	italiano;dialetto	BO	fisso	yes	asimmetrico	2021	yes
PBC005	intervista-semistrutturata	01:01:27	2	BOR002;BOI014	italiano;dialetto	BO	fisso	yes	asimmetrico	2021	yes
PBC006	intervista-semistrutturata	00:52:08	3	BOR004;BOI017;BOI018	italiano	BO	fisso	yes	asimmetrico	2022	no
PBC007	intervista-semistrutturata	01:02:55	2	BOR005;BOI019	italiano	BO	fisso	yes	asimmetrico	2022	no
PBC008	intervista-semistrutturata	00:58:59	3	BOR002;BOR005;BOI021	italiano	BO	fisso	yes	asimmetrico	2022	yes
PBC009	intervista-semistrutturata	01:36:37	3	BOR002;BOI022;BOI023	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	no
PBC010	intervista-semistrutturata	00:45:06	2	BOR001;BOI029	italiano	BO	fisso	yes	asimmetrico	2022	no
PBC011	intervista-semistrutturata	01:16:04	2	BOR008;BOI032	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	yes
PBC012	intervista-semistrutturata	00:48:29	3	BOR005;BOI033;BOI034	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	no
PBC013	intervista-semistrutturata	01:08:09	2	BOR009;BOI035	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	yes
PBC014	intervista-semistrutturata	00:45:35	2	BOR010;BOI036	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	no
PBC015	intervista-semistrutturata	00:32:24	2	BOR010;BOI037	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	no
PBC016	intervista-semistrutturata	00:48:51	2	BOR010;BOI038	italiano	BO	fisso	yes	asimmetrico	2022	yes
PBC017	intervista-semistrutturata	00:51:26	2	BOR009;BOI042	italiano	BO	fisso	yes	asimmetrico	2022	no
PBC018	intervista-semistrutturata	00:37:48	2	BOR010;BOI043	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	yes
PBC019	intervista-semistrutturata	00:34:20	2	BOR010;BOI044	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	yes
PBC020	intervista-semistrutturata	00:50:27	3	BOR006;BOI047;BOI048	italiano	BO	fisso	yes	asimmetrico	2022	no
PBC021	intervista-semistrutturata	00:51:51	2	BOR012;BOI051	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	no
PBC022	intervista-semistrutturata	00:36:38	2	BOR014;BOI055	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	no
PBC023	intervista-semistrutturata	00:51:25	2	BOR016;BOI058	italiano;dialetto	BO	fisso	yes	asimmetrico	2022	no
PBC024	intervista-semistrutturata	01:10:00	3	BOR036;BOI103;BOI104	italiano;dialetto	BO	fisso	yes	asimmetrico	2024	yes
PBC025	intervista-semistrutturata	00:52:18	3	BOR025;BOR035;BOI112	italiano;dialetto	BO	fisso	yes	asimmetrico	2024	no
